Energy_Star_1-100_Score
78
31
78
62
60
75
78
72
93
81
85
4
52
82
24
22
91
69
1
56
69
11
85
66
80
87
83
81
85
32
29
86
82
83
80
91
95
93
76
49
85
18
77
84
32
80
35
24
83
65
14
44
82
31
77
87
63
85
75
97
70
71
26
72
62
16
87
79
65
88
54
48
1
4
80
45
89
83
15
45
