Model,MAE,RMSE,R2
RF,427675.06990093924,7428511.105341792,0.8532177553683208
XGB,906014.6399449478,11621880.781134969,0.6407284703833807
SVR,4316205.035336296,19693625.948619083,-0.0316237707389766
