Model,MAE,RMSE,R2
RF,400351.42563369876,7261845.954729479,0.8597302461526465
XGB,1015479.1666732338,12046707.696613872,0.6139827466794259
SVR,4316205.035353783,19693625.948613893,-0.03162377073843303
