,mae,mae,mae,r2_score,r2_score,r2_score,rmse,rmse,rmse
model_name,RF,SVR,XGB,RF,SVR,XGB,RF,SVR,XGB
dataset,,,,,,,,,
chicago_energy,521384.2543205064,6476906.327081345,562763.9315487832,0.978591037689921,-0.1214705196754435,0.9811927164863764,1814597.222575709,13133375.57181013,1700769.5380511235
seattle_2015_present,0.8889097413318677,5.2643166629807485,1.6368727510548524,0.99777584720572,0.973666089215527,0.9975610476663306,3.6611015528973536,12.597580612796984,3.8338147372531033
washington_dc,112845.12224989166,1600668.7397559737,114620.93025220434,0.9807890881454904,-0.1348029784818265,0.9831733548971512,351262.52225137205,2699715.8687991067,328743.05996359483
