SiteEnergyUse(kBtu)
Poor
Average
Poor
Excellent
Good
Good
Poor
Good
Poor
Excellent
Poor
Average
Good
Good
Good
Excellent
Poor
Good
Poor
Poor
Excellent
Excellent
Average
Poor
Good
Average
Poor
Good
Poor
Average
Poor
Poor
Poor
Good
Excellent
Poor
Average
Excellent
Good
Average
Good
Excellent
Poor
Average
Excellent
Excellent
Average
Good
Excellent
Excellent
Average
Average
Good
Average
Poor
Average
Excellent
Poor
Excellent
Good
Poor
Average
Poor
Good
Good
Good
Good
Average
Good
Good
Excellent
Excellent
Poor
Excellent
Average
Average
Poor
Poor
Average
Poor
Good
Poor
Poor
Poor
Good
Good
Poor
Good
Good
Excellent
Good
Average
Poor
Average
Excellent
Excellent
Good
Average
Poor
Poor
Excellent
Excellent
Poor
Average
Average
Average
Poor
Good
Excellent
Excellent
Average
Poor
Poor
Average
Average
Excellent
Average
Average
Good
Excellent
Average
Poor
Average
Average
Good
Good
Excellent
Poor
Good
Poor
Poor
Good
Poor
Good
Average
Excellent
Poor
Good
Average
Good
Excellent
Excellent
Good
Excellent
Average
Excellent
Good
Poor
Average
Excellent
Excellent
Poor
Average
Average
Poor
Good
Excellent
Good
Average
Excellent
Average
Poor
Good
Excellent
Poor
Poor
Excellent
Poor
Excellent
Excellent
Good
Poor
Average
Excellent
Good
Average
Poor
Good
Average
Poor
Excellent
Poor
Excellent
Good
Excellent
Poor
Poor
Poor
Excellent
Poor
Poor
Excellent
Excellent
Poor
Good
Poor
Average
Excellent
Good
Poor
Good
Good
Average
Excellent
Poor
Poor
Poor
Good
Average
Excellent
Good
Poor
Average
Excellent
Average
Poor
Average
Good
Average
Good
Average
Poor
Average
Poor
Excellent
Poor
Excellent
Poor
Good
Good
Excellent
Average
Average
Good
Good
Average
Excellent
Excellent
Poor
Poor
Excellent
Average
Good
Excellent
Poor
Average
Excellent
Average
Poor
Average
Good
Poor
Poor
Average
Excellent
Good
Poor
Average
Poor
Good
Poor
Average
Poor
Good
Good
Average
Excellent
Average
Good
Average
Excellent
Excellent
Poor
Average
Excellent
Good
Poor
Poor
Average
Poor
Good
Excellent
Excellent
Average
Excellent
Average
Excellent
Average
Good
Good
Poor
Excellent
Excellent
Average
Poor
Excellent
Poor
Average
Average
Excellent
Average
Good
Poor
Average
Excellent
Average
Average
Excellent
Poor
Good
Good
Excellent
Poor
Poor
Good
Average
Poor
Average
Poor
Poor
Poor
Average
Poor
Good
Good
Poor
Poor
Poor
Average
Good
Excellent
Excellent
Average
Excellent
Excellent
Good
Good
Excellent
Average
Excellent
Poor
Poor
Average
Excellent
Good
Excellent
Average
Average
Excellent
Poor
Average
Good
Excellent
Good
Good
Average
Good
Excellent
Average
Good
Average
Excellent
Excellent
Excellent
Poor
Average
Average
Average
Good
Good
Good
Poor
Average
Good
Average
Good
Excellent
Good
Excellent
Average
Poor
Average
Good
Average
Good
Good
Poor
Good
Excellent
Excellent
Good
Excellent
Excellent
Excellent
Excellent
Excellent
Average
Average
Excellent
Average
Average
Excellent
Average
Excellent
Poor
Average
Average
Good
Poor
Excellent
Good
Poor
Excellent
Average
Excellent
Poor
Good
Excellent
Good
Average
Good
Poor
Excellent
Excellent
Poor
Good
Average
Average
Excellent
Good
Excellent
Good
Average
Average
Poor
Average
Average
Good
Average
Excellent
Excellent
Excellent
Poor
Poor
Average
Poor
Excellent
Average
Poor
Excellent
Good
Good
Excellent
Good
Poor
Poor
Average
Excellent
Excellent
Average
Excellent
Good
Excellent
Average
Average
Average
Excellent
Good
Poor
Average
Poor
Excellent
Excellent
